,Adequacy,Fluency
q-p,0.20838894602104896,0.1950204699181204
q-r,0.2861005949161709,0.29696081220051207
q-x,0.06222489922624297,0.15743102249014596
q-y,0.22519763549604732,0.24313603829193164
q-z,0.3358490566037736,0.05770697778774958
p-r,0.1703586497890296,0.2980432242990654
p-x,0.12426227058794226,0.10892811677840952
p-y,0.10972121322193973,0.38626370849547687
p-z,0.2014314928425358,0.15967271548930673
r-x,0.1868027982605407,0.06583672975263322
r-y,0.288042901136243,0.40341674687199225
r-z,0.2850962740685171,0.1705550472705093
x-y,0.2174977139476092,0.10614106462250006
x-z,0.1571211601587379,-0.053811847862672346
y-z,0.30247874811732567,0.1930253575035884
