,PE,T,len
3,131.41,114.96,3.0
4,231.11,0.0,4.0
5,383.94,387.45,5.0
6,166.33,152.88,6.0
7,254.49,420.33,7.0
8,325.78,387.82,8.0
9,257.69,242.97,9.0
10,288.22,520.12,10.0
11,611.88,301.46,11.0
12,315.84,443.2,12.0
13,336.15,648.22,13.0
14,835.81,565.23,14.0
15,1076.81,730.81,15.0
16,579.31,826.15,16.0
17,932.71,947.43,17.0
18,319.29,804.99,18.0
19,800.83,847.31,19.0
20,997.27,886.64,20.0
21,753.52,1224.69,21.0
22,733.6,952.36,22.0
23,799.38,1737.84,23.0
24,647.26,908.44,24.0
25,811.23,1127.82,25.0
26,1139.46,975.97,26.0
27,916.37,1147.05,27.0
28,1231.95,1441.88,28.0
29,1085.11,1695.19,29.0
30,789.18,1702.25,30.0
31,1556.68,1087.65,31.0
32,2870.67,1549.27,32.0
33,3151.98,6905.97,33.0
34,1740.87,1545.91,34.0
35,0.0,1454.89,35.0
36,1740.87,3520.21,36.0
37,2370.54,4014.01,37.0
39,1691.82,0.0,39.0
40,1116.34,2790.08,40.0
41,1442.71,3105.06,41.0
42,1737.16,2268.91,42.0
43,0.0,1214.56,43.0
44,1742.81,3722.87,44.0
47,1898.28,0.0,47.0
48,1152.78,0.0,48.0
49,0.0,2505.0,49.0
52,0.0,3078.81,52.0
53,1271.48,0.0,53.0
54,0.0,2826.11,54.0
55,0.0,2691.73,55.0
56,0.0,2408.25,56.0
58,0.0,2348.68,58.0
59,2334.06,4141.4,59.0
60,0.0,3912.25,60.0
70,0.0,3737.0,70.0
72,0.0,3174.38,72.0
75,0.0,5705.06,75.0
82,0.0,8737.93,82.0
